,顧客ID,登録日,顧客名,メールアドレス,都道府県,市区町村,顧客区分,獲得チャネル,会員ランク,有効会員フラグ,年収帯,顧客ID(注文),注文ID,注文日,注文ステータス,販売チャネル,支払方法,配送先都道府県,クーポンコード,小計金額,割引金額,送料,合計金額,純売り上げ
178,C00179,2023-11-08,田中 大和,customer00179@example.jp,愛知県,名古屋市,大企業,SNS,ブロンズ,無,500～800万円,,,,,,,,,,,,,
179,C00180,2023-10-09,佐藤 湊,customer00180@example.jp,東京都,新宿区,中小企業,自然検索,シルバー,無,300～500万円,C00180,O000481,2024-07-04,配達完了,営業担当,銀行振込,東京都,,1338.84,0.0,0.0,1338.84,1338.84
180,C00181,2023-12-29,中村 陽翔,customer00181@example.jp,東京都,世田谷区,大企業,紹介,ゴールド,有,300～500万円,C00181,O000192O000525,2024-07-192024-11-02,配達完了返品済み,営業担当ウェブ,スマホ決済スマホ決済,東京都東京都,FREESHIP,1055.8700000000001,0.0,0.0,1055.8700000000001,1055.8700000000001
181,C00182,2024-11-26,中村 陽葵,customer00182@example.jp,東京都,新宿区,個人,広告検索,プラチナ,有,"800～1,200万円",C00182,O000017O000144,2024-02-162024-07-17,配達完了配達完了,ウェブウェブ,銀行振込クレジットカード,東京都東京都,,1325.8899999999999,0.0,0.0,1325.8899999999999,1325.8899999999999
182,C00183,2023-06-27,高橋 悠真,customer00183@example.jp,東京都,新宿区,個人,自然検索,シルバー,有,300万円未満,C00183,O000398O000434,2025-12-132024-09-20,発送済み発送済み,ウェブウェブ,クレジットカードスマホ決済,東京都東京都,B2B5SPRING15,435.93,33.26,5.9,408.57000000000005,396.77
183,C00184,2024-10-23,渡辺 悠真,customer00184@example.jp,神奈川県,横浜市,個人,自然検索,ブロンズ,無,500～800万円,,,,,,,,,,,,,
184,C00185,2023-10-23,山本 悠真,customer00185@example.jp,千葉県,船橋市,大企業,提携先,ブロンズ,有,300～500万円,C00185,O000285O000492O000501,2024-08-292024-09-192025-11-24,配達完了配達完了配達完了,ウェブウェブモバイルアプリ,請求書払いスマホ決済スマホ決済,千葉県千葉県千葉県,,1882.88,0.0,0.0,1882.88,1882.88
185,C00186,2024-07-22,伊藤 凛,customer00186@example.jp,千葉県,柏市,個人,広告検索,ブロンズ,有,"1,200万円以上",C00186,O000647,2025-08-06,配達完了,モール,クレジットカード,千葉県,,163.3,0.0,0.0,163.3,163.3
186,C00187,2025-03-25,山本 大和,customer00187@example.jp,北海道,函館市,個人,紹介,ブロンズ,有,300万円未満,C00187,O000167O000359O000633,2024-09-282025-02-122024-06-27,配達完了発送済み発送済み,ウェブモバイルアプリウェブ,スマホ決済クレジットカードスマホ決済,北海道北海道北海道,SPRING15WELCOME10,3140.76,247.20999999999998,0.0,2893.55,2893.55
187,C00188,2024-10-01,渡辺 陽葵,customer00188@example.jp,福岡県,北九州市,中小企業,自然検索,シルバー,有,500～800万円,C00188,O000033O000373O000523O000586,2025-05-052025-05-152025-10-162024-12-31,配達完了配達完了配達完了配達完了,モバイルアプリモバイルアプリモバイルアプリウェブ,スマホ決済銀行振込銀行振込クレジットカード,福岡県福岡県福岡県福岡県,VIP20WELCOME10VIP20WELCOME10,3025.3100000000004,404.02,0.0,2621.29,2621.29
188,C00189,2023-08-15,鈴木 結菜,customer00189@example.jp,東京都,世田谷区,個人,SNS,ブロンズ,有,"1,200万円以上",C00189,O000160O000193O000577,2025-05-272025-12-132025-06-24,配達完了発送済み配達完了,モバイルアプリウェブモバイルアプリ,スマホ決済スマホ決済クレジットカード,東京都東京都東京都,,400.06,0.0,11.8,411.86,388.26
189,C00190,2024-08-08,鈴木 陽翔,customer00190@example.jp,大阪府,吹田市,中小企業,SNS,シルバー,有,300万円未満,C00190,O000011O000106O000162O000179,2025-02-032024-08-292024-08-222024-08-14,配達完了配達完了配達完了配達完了,モバイルアプリ営業担当営業担当モール,スマホ決済クレジットカードスマホ決済スマホ決済,大阪府大阪府大阪府大阪府,WELCOME10B2B5,3837.4,153.79,0.0,3683.61,3683.61
190,C00191,2025-08-10,渡辺 芽依,customer00191@example.jp,神奈川県,川崎市,中小企業,SNS,シルバー,有,300～500万円,C00191,O000002O000134,2024-02-282024-03-16,配達完了配達完了,ウェブウェブ,クレジットカードスマホ決済,神奈川県神奈川県,WELCOME10,881.17,51.89,0.0,829.28,829.28
191,C00192,2024-08-20,山本 結菜,customer00192@example.jp,東京都,千代田区,個人,広告検索,シルバー,有,300万円未満,C00192,O000362O000564O000622,2025-01-042025-04-192024-02-24,配達完了配達完了発送済み,ウェブモバイルアプリウェブ,スマホ決済スマホ決済クレジットカード,東京都東京都東京都,FREESHIP,789.12,0.0,5.9,795.02,783.22
192,C00193,2023-02-27,田中 悠真,customer00193@example.jp,東京都,渋谷区,中小企業,SNS,ブロンズ,有,300～500万円,C00193,O000050O000094O000385O000389,2024-11-122025-07-242024-05-192025-06-19,配達完了配達完了配達完了処理中,モバイルアプリモバイルアプリモバイルアプリモバイルアプリ,クレジットカードスマホ決済クレジットカードクレジットカード,東京都東京都東京都東京都,B2B5,1766.04,15.45,0.0,1750.5900000000001,1750.5900000000001
193,C00194,2025-12-01,鈴木 大和,customer00194@example.jp,神奈川県,横浜市,中小企業,店頭,ブロンズ,有,300万円未満,C00194,O000212O000224O000592,2024-05-112024-05-212025-12-15,配達完了発送済み処理中,モバイルアプリウェブウェブ,クレジットカードスマホ決済クレジットカード,神奈川県神奈川県神奈川県,WELCOME10VIP20,1792.77,154.0,0.0,1638.77,1638.77
194,C00195,2025-02-05,中村 さくら,customer00195@example.jp,大阪府,大阪市,個人,広告検索,シルバー,有,500～800万円,C00195,O000519O000681,2024-10-252025-12-26,キャンセルキャンセル,ウェブモール,スマホ決済クレジットカード,大阪府大阪府,,1256.6,0.0,0.0,1256.6,1256.6
195,C00196,2024-07-17,佐藤 さくら,customer00196@example.jp,東京都,渋谷区,個人,提携先,ゴールド,有,500～800万円,C00196,O000251O000267,2024-02-212024-06-21,返品済み配達完了,ウェブモバイルアプリ,クレジットカードスマホ決済,東京都東京都,FREESHIP,1698.27,0.0,0.0,1698.27,1698.27
196,C00197,2024-02-17,佐藤 悠真,customer00197@example.jp,愛知県,名古屋市,個人,店頭,ブロンズ,有,"800～1,200万円",C00197,O000126O000210O000550,2025-08-042024-12-032025-11-19,キャンセル配達完了配達完了,ウェブモバイルアプリモバイルアプリ,コンビニ払い請求書払いスマホ決済,愛知県愛知県愛知県,B2B5,1970.71,53.47,0.0,1917.24,1917.2400000000002
197,C00198,2024-05-05,山本 陽翔,customer00198@example.jp,千葉県,船橋市,大企業,紹介,シルバー,有,300～500万円,C00198,O000035O000384O000455O000499,2025-05-312024-01-142024-02-142024-11-25,配達完了配達完了配達完了キャンセル,モールウェブウェブウェブ,クレジットカード銀行振込クレジットカードクレジットカード,千葉県千葉県千葉県千葉県,FREESHIPWELCOME10WELCOME10,641.77,47.78,5.9,599.89,588.09
198,C00199,2022-01-11,田中 湊,customer00199@example.jp,北海道,旭川市,大企業,自然検索,ブロンズ,有,"1,200万円以上",C00199,O000228O000421O000572,2025-02-182024-07-112025-01-29,配達完了発送済みキャンセル,モールウェブモバイルアプリ,スマホ決済請求書払いスマホ決済,北海道北海道北海道,FREESHIPSPRING15SPRING15,2061.6800000000003,215.16,0.0,1846.52,1846.52
199,C00200,2025-12-21,佐藤 陽葵,customer00200@example.jp,神奈川県,藤沢市,大企業,広告検索,シルバー,有,300万円未満,C00200,O000514O000590,2025-08-232025-03-19,配達完了キャンセル,ウェブモバイルアプリ,クレジットカードクレジットカード,神奈川県神奈川県,,322.13,0.0,5.9,328.03,316.23
200,C00201,2024-07-28,田中 さくら,customer00201@example.jp,千葉県,千葉市,個人,紹介,ゴールド,無,500～800万円,,,,,,,,,,,,,
201,C00202,2024-01-14,田中 蓮,customer00202@example.jp,大阪府,豊中市,個人,自然検索,ブロンズ,有,300～500万円,C00202,O000220O000254O000611,2025-08-092025-09-252025-06-29,キャンセルキャンセル配達完了,モバイルアプリモールモール,クレジットカードクレジットカード銀行振込,大阪府大阪府大阪府,WELCOME10,1238.47,42.04,0.0,1196.43,1196.4299999999998
202,C00203,2023-06-27,佐藤 陽葵,customer00203@example.jp,北海道,旭川市,中小企業,SNS,ゴールド,無,300～500万円,,,,,,,,,,,,,
203,C00204,2024-08-04,高橋 陽葵,customer00204@example.jp,福岡県,久留米市,個人,紹介,ゴールド,有,"800～1,200万円",C00204,O000578,2025-06-12,配達完了,モバイルアプリ,スマホ決済,福岡県,,345.92,0.0,0.0,345.92,345.92
204,C00205,2024-04-13,佐藤 湊,customer00205@example.jp,北海道,旭川市,中小企業,紹介,シルバー,有,500～800万円,C00205,O000108O000136O000229O000258O000676,2024-06-282024-07-242024-01-082024-11-072024-08-18,配達完了配達完了配達完了配達完了配達完了,ウェブウェブウェブモールモール,スマホ決済クレジットカードクレジットカードクレジットカードクレジットカード,北海道北海道北海道北海道北海道,,1519.6000000000001,0.0,11.8,1531.3999999999999,1507.8
205,C00206,2023-08-22,田中 樹,customer00206@example.jp,福岡県,福岡市,個人,紹介,ブロンズ,有,500～800万円,C00206,O000343O000596O000684,2025-11-282025-09-262025-12-31,キャンセル配達完了配達完了,ウェブウェブモバイルアプリ,クレジットカードスマホ決済クレジットカード,福岡県福岡県福岡県,VIP20,3889.87,269.14,0.0,3620.73,3620.73
206,C00207,2023-04-24,佐藤 大和,customer00207@example.jp,神奈川県,相模原市,個人,自然検索,プラチナ,有,300～500万円,C00207,O000199O000585,2025-11-032025-10-12,配達完了配達完了,モバイルアプリモバイルアプリ,スマホ決済コンビニ払い,神奈川県神奈川県,SPRING15,1826.23,67.7,0.0,1758.5300000000002,1758.5300000000002
207,C00208,2023-01-09,中村 樹,customer00208@example.jp,東京都,渋谷区,個人,広告検索,ブロンズ,有,500～800万円,C00208,O000089O000364,2024-05-312024-03-09,配達完了配達完了,モールモール,クレジットカードクレジットカード,東京都東京都,VIP20,1931.7400000000002,217.78,0.0,1713.96,1713.96
208,C00209,2024-11-04,渡辺 陽葵,customer00209@example.jp,東京都,千代田区,個人,自然検索,ブロンズ,無,300～500万円,,,,,,,,,,,,,
209,C00210,2025-06-24,佐藤 蓮,customer00210@example.jp,大阪府,豊中市,個人,店頭,ブロンズ,有,"800～1,200万円",C00210,O000180O000464O000465O000561,2025-01-162025-11-272024-04-222024-05-02,配達完了配達完了発送済み配達完了,モールウェブウェブモール,コンビニ払いコンビニ払いクレジットカードスマホ決済,大阪府大阪府大阪府大阪府,SPRING15SPRING15,4678.11,349.81,0.0,4328.3,4328.3
210,C00211,2022-08-23,佐藤 葵,customer00211@example.jp,東京都,世田谷区,中小企業,紹介,ブロンズ,有,300万円未満,C00211,O000400O000598,2025-12-262025-06-18,処理中配達完了,ウェブモバイルアプリ,スマホ決済クレジットカード,東京都東京都,,1865.58,0.0,0.0,1865.58,1865.58
211,C00212,2023-08-21,田中 さくら,customer00212@example.jp,東京都,千代田区,個人,紹介,ブロンズ,有,500～800万円,C00212,O000008,2024-04-23,発送済み,ウェブ,スマホ決済,東京都,VIP20,1192.07,238.41,0.0,953.66,953.66
212,C00213,2024-04-23,鈴木 湊,customer00213@example.jp,福岡県,久留米市,個人,広告検索,ブロンズ,有,300万円未満,C00213,O000158O000271,2025-10-252024-02-09,発送済み処理中,モールウェブ,銀行振込請求書払い,福岡県福岡県,B2B5,2183.38,52.84,0.0,2130.54,2130.54
213,C00214,2022-01-01,田中 陽葵,customer00214@example.jp,東京都,千代田区,個人,広告検索,シルバー,有,300～500万円,C00214,O000170O000274,2025-09-022025-06-06,配達完了キャンセル,モバイルアプリモール,クレジットカードスマホ決済,東京都東京都,FREESHIP,1445.53,0.0,0.0,1445.53,1445.53
214,C00215,2023-01-02,鈴木 陽翔,customer00215@example.jp,東京都,新宿区,個人,紹介,シルバー,有,"800～1,200万円",C00215,O000117O000424,2024-03-162025-08-24,配達完了発送済み,モバイルアプリウェブ,クレジットカード銀行振込,東京都東京都,B2B5,1869.26,65.6,0.0,1803.6599999999999,1803.66
215,C00216,2025-11-26,中村 結菜,customer00216@example.jp,北海道,函館市,大企業,店頭,ブロンズ,有,300～500万円,C00216,O000139O000661,2024-08-142024-12-04,配達完了配達完了,モバイルアプリモバイルアプリ,クレジットカードクレジットカード,北海道北海道,WELCOME10,1078.51,6.3,5.9,1078.1100000000001,1066.31
216,C00217,2022-12-20,高橋 大和,customer00217@example.jp,福岡県,福岡市,中小企業,広告検索,シルバー,有,500～800万円,C00217,O000061,2024-01-10,キャンセル,モール,スマホ決済,福岡県,,1327.52,0.0,0.0,1327.52,1327.52
217,C00218,2022-05-24,渡辺 大和,customer00218@example.jp,福岡県,北九州市,大企業,自然検索,シルバー,有,300～500万円,C00218,O000142O000175O000245O000284O000484O000716,2025-12-242024-07-272025-07-032024-01-312024-02-172024-12-15,配達完了キャンセル配達完了配達完了配達完了配達完了,ウェブウェブウェブウェブモバイルアプリウェブ,スマホ決済銀行振込クレジットカードクレジットカードコンビニ払い銀行振込,福岡県福岡県福岡県福岡県福岡県福岡県,SPRING15FREESHIP,6233.62,215.12,0.0,6018.5,6018.5
218,C00219,2025-08-09,山本 湊,customer00219@example.jp,福岡県,北九州市,個人,紹介,シルバー,有,300～500万円,C00219,O000414O000703,2024-01-042024-04-18,配達完了配達完了,モバイルアプリウェブ,コンビニ払いスマホ決済,福岡県福岡県,B2B5,941.52,11.24,0.0,930.28,930.28
219,C00220,2025-02-18,渡辺 樹,customer00220@example.jp,神奈川県,藤沢市,個人,紹介,ブロンズ,有,500～800万円,C00220,O000278O000374O000453O000524,2025-11-302024-09-262025-01-032025-09-16,配達完了配達完了返品済み配達完了,モバイルアプリモール営業担当ウェブ,クレジットカードクレジットカードコンビニ払いスマホ決済,神奈川県神奈川県神奈川県神奈川県,,3105.77,0.0,5.9,3111.67,3099.87
220,C00221,2025-05-22,鈴木 さくら,customer00221@example.jp,千葉県,柏市,中小企業,紹介,シルバー,有,500～800万円,C00221,O000515O000559O000665,2025-01-182024-07-242025-08-19,配達完了返品済み配達完了,モバイルアプリ営業担当モバイルアプリ,請求書払いクレジットカード請求書払い,千葉県千葉県千葉県,,1734.07,0.0,0.0,1734.07,1734.07
221,C00222,2025-10-09,渡辺 湊,customer00222@example.jp,千葉県,船橋市,個人,SNS,シルバー,無,300～500万円,,,,,,,,,,,,,
222,C00223,2025-05-01,田中 凛,customer00223@example.jp,神奈川県,横浜市,個人,自然検索,シルバー,有,300～500万円,,,,,,,,,,,,,
223,C00224,2023-02-23,高橋 悠真,customer00224@example.jp,神奈川県,相模原市,個人,広告検索,ゴールド,有,"800～1,200万円",C00224,O000215O000361O000487O000603O000628,2025-11-052024-02-012025-11-142024-10-232024-03-05,キャンセル配達完了発送済み処理中配達完了,ウェブモール営業担当モールウェブ,スマホ決済銀行振込スマホ決済銀行振込銀行振込,神奈川県神奈川県神奈川県神奈川県神奈川県,VIP20,3435.55,87.16,0.0,3348.3900000000003,3348.3900000000003
224,C00225,2025-04-25,佐藤 樹,customer00225@example.jp,千葉県,千葉市,個人,自然検索,プラチナ,無,500～800万円,C00225,O000544,2025-01-30,発送済み,モバイルアプリ,スマホ決済,千葉県,,77.42,0.0,5.9,83.32,71.52
225,C00226,2025-10-23,中村 樹,customer00226@example.jp,北海道,旭川市,個人,紹介,ブロンズ,有,500～800万円,C00226,O000439O000567,2025-11-272025-09-02,配達完了発送済み,ウェブモバイルアプリ,請求書払いクレジットカード,北海道北海道,,1030.95,0.0,0.0,1030.95,1030.95
226,C00227,2022-10-05,山本 樹,customer00227@example.jp,千葉県,柏市,大企業,店頭,シルバー,有,300～500万円,C00227,O000169O000441O000500,2025-07-302025-05-312025-12-16,配達完了配達完了配達完了,ウェブウェブモバイルアプリ,銀行振込スマホ決済銀行振込,千葉県千葉県千葉県,FREESHIP,2878.36,0.0,0.0,2878.36,2878.36
227,C00228,2022-08-03,高橋 陽葵,customer00228@example.jp,東京都,千代田区,中小企業,自然検索,ブロンズ,有,300～500万円,C00228,O000535O000616O000630,2024-08-292025-07-212025-04-03,配達完了配達完了返品済み,ウェブモバイルアプリモバイルアプリ,クレジットカード銀行振込コンビニ払い,東京都東京都東京都,,741.81,0.0,0.0,741.81,741.81
228,C00229,2024-05-07,中村 さくら,customer00229@example.jp,神奈川県,藤沢市,中小企業,自然検索,プラチナ,有,500～800万円,C00229,O000026O000403,2025-02-202025-09-03,配達完了配達完了,ウェブモバイルアプリ,スマホ決済スマホ決済,神奈川県神奈川県,,1508.72,0.0,0.0,1508.72,1508.72
229,C00230,2022-12-19,鈴木 さくら,customer00230@example.jp,福岡県,福岡市,個人,提携先,ブロンズ,無,"1,200万円以上",,,,,,,,,,,,,
230,C00231,2024-03-02,渡辺 陽翔,customer00231@example.jp,千葉県,柏市,中小企業,紹介,ブロンズ,有,"800～1,200万円",C00231,O000045O000059O000083O000090O000182O000381O000526,2024-03-152024-04-132025-11-212024-08-082025-11-152024-10-122024-07-16,配達完了配達完了返品済み配達完了発送済み配達完了配達完了,ウェブモバイルアプリモバイルアプリモールモバイルアプリウェブ営業担当,銀行振込クレジットカードクレジットカードスマホ決済クレジットカード請求書払いスマホ決済,千葉県千葉県千葉県千葉県千葉県千葉県千葉県,WELCOME10VIP20B2B5FREESHIP,5395.42,179.63,0.0,5215.79,5215.79
231,C00232,2024-03-17,鈴木 凛,customer00232@example.jp,北海道,旭川市,中小企業,広告検索,シルバー,有,"800～1,200万円",C00232,O000019O000100O000576,2025-11-262024-02-062025-07-19,配達完了配達完了配達完了,ウェブモバイルアプリウェブ,スマホ決済コンビニ払いクレジットカード,北海道北海道北海道,WELCOME10WELCOME10,2604.8,172.89,0.0,2431.91,2431.91
232,C00233,2022-11-26,伊藤 樹,customer00233@example.jp,東京都,新宿区,個人,広告検索,シルバー,有,500～800万円,C00233,O000183O000345O000505,2025-12-262025-12-032024-12-13,配達完了配達完了配達完了,モバイルアプリモバイルアプリウェブ,スマホ決済コンビニ払いスマホ決済,東京都東京都東京都,WELCOME10,2086.27,129.4,5.9,1962.77,1950.97
233,C00234,2025-03-01,中村 陽翔,customer00234@example.jp,東京都,新宿区,個人,SNS,シルバー,有,500～800万円,C00234,O000248O000430O000668,2024-08-142024-04-092024-01-14,配達完了キャンセル配達完了,モバイルアプリウェブウェブ,クレジットカードスマホ決済請求書払い,東京都東京都東京都,FREESHIPVIP20,2561.48,184.32,0.0,2377.16,2377.16
234,C00235,2023-04-22,渡辺 結菜,customer00235@example.jp,神奈川県,川崎市,個人,自然検索,シルバー,有,300～500万円,C00235,O000103O000240O000468O000527O000581,2024-03-212025-03-172024-06-072024-08-082024-05-22,配達完了配達完了配達完了処理中配達完了,ウェブウェブモバイルアプリモバイルアプリ営業担当,請求書払いスマホ決済請求書払いスマホ決済スマホ決済,神奈川県神奈川県神奈川県神奈川県神奈川県,WELCOME10B2B5,2765.9700000000003,80.28999999999999,0.0,2685.6800000000003,2685.6800000000003
235,C00236,2024-01-07,高橋 結菜,customer00236@example.jp,神奈川県,川崎市,個人,自然検索,シルバー,有,300～500万円,C00236,O000189O000264,2024-02-222024-08-23,発送済み配達完了,モバイルアプリウェブ,銀行振込銀行振込,神奈川県神奈川県,,2045.4299999999998,0.0,0.0,2045.4299999999998,2045.4299999999998
236,C00237,2023-04-16,高橋 湊,customer00237@example.jp,東京都,新宿区,個人,紹介,ゴールド,有,500～800万円,C00237,O000055O000066O000321O000336O000554O000604,2024-04-152025-04-202025-02-022024-09-122025-01-192024-03-23,配達完了配達完了処理中配達完了配達完了配達完了,ウェブウェブウェブウェブモールウェブ,クレジットカードクレジットカードコンビニ払いクレジットカード銀行振込請求書払い,東京都東京都東京都東京都東京都東京都,SPRING15,3992.56,177.21,5.9,3821.25,3809.45
237,C00238,2024-10-05,山本 葵,customer00238@example.jp,千葉県,船橋市,個人,提携先,シルバー,有,"800～1,200万円",C00238,O000413O000615,2025-08-222024-10-24,キャンセル配達完了,モバイルアプリウェブ,コンビニ払いクレジットカード,千葉県千葉県,,584.1899999999999,0.0,5.9,590.0899999999999,578.29
238,C00239,2025-10-03,伊藤 凛,customer00239@example.jp,愛知県,名古屋市,個人,広告検索,シルバー,有,500～800万円,C00239,O000112,2024-04-13,配達完了,モバイルアプリ,銀行振込,愛知県,,533.81,0.0,0.0,533.81,533.81
239,C00240,2022-10-19,伊藤 湊,customer00240@example.jp,福岡県,北九州市,中小企業,広告検索,ブロンズ,有,"1,200万円以上",C00240,O000469,2025-09-21,配達完了,ウェブ,クレジットカード,福岡県,B2B5,423.08,21.15,0.0,401.93,401.93
240,C00241,2025-12-09,中村 陽翔,customer00241@example.jp,千葉県,柏市,個人,紹介,シルバー,有,300～500万円,C00241,O000012O000371,2025-09-162025-07-14,配達完了配達完了,モバイルアプリウェブ,コンビニ払いコンビニ払い,千葉県千葉県,,1303.1799999999998,0.0,0.0,1303.1799999999998,1303.1799999999998
241,C00242,2022-07-15,鈴木 陽葵,customer00242@example.jp,大阪府,豊中市,中小企業,提携先,ゴールド,有,300～500万円,C00242,O000320,2024-03-15,キャンセル,ウェブ,スマホ決済,大阪府,,31.76,0.0,5.9,37.66,25.86
242,C00243,2022-04-01,佐藤 芽依,customer00243@example.jp,大阪府,大阪市,個人,紹介,シルバー,有,300万円未満,,,,,,,,,,,,,
243,C00244,2022-07-04,伊藤 大和,customer00244@example.jp,東京都,千代田区,中小企業,広告検索,シルバー,有,300～500万円,C00244,O000047O000391,2024-04-192024-01-18,配達完了発送済み,ウェブモール,クレジットカード銀行振込,東京都東京都,,1674.96,0.0,0.0,1674.96,1674.96
244,C00245,2022-01-22,山本 さくら,customer00245@example.jp,東京都,新宿区,中小企業,自然検索,シルバー,有,300～500万円,C00245,O000197O000300,2025-09-012024-05-29,配達完了配達完了,モバイルアプリウェブ,スマホ決済コンビニ払い,東京都東京都,,1940.9099999999999,0.0,0.0,1940.9099999999999,1940.9099999999999
245,C00246,2022-01-12,渡辺 凛,customer00246@example.jp,大阪府,大阪市,個人,SNS,ブロンズ,有,300～500万円,C00246,O000163O000658O000687O000693,2025-04-022024-06-152025-09-132024-02-18,配達完了配達完了キャンセル配達完了,ウェブウェブウェブウェブ,銀行振込クレジットカードクレジットカードスマホ決済,大阪府大阪府大阪府大阪府,WELCOME10WELCOME10,3782.3,142.4,0.0,3639.8999999999996,3639.8999999999996
246,C00247,2024-08-03,中村 さくら,customer00247@example.jp,千葉県,柏市,大企業,SNS,シルバー,有,"1,200万円以上",C00247,O000335,2025-08-18,配達完了,ウェブ,銀行振込,千葉県,,368.81,0.0,0.0,368.81,368.81
247,C00248,2025-12-15,伊藤 さくら,customer00248@example.jp,東京都,世田谷区,個人,提携先,シルバー,有,500～800万円,C00248,O000030O000037O000494O000507,2025-02-052025-05-222025-11-302025-12-23,返品済み配達完了配達完了配達完了,ウェブモバイルアプリモバイルアプリモバイルアプリ,クレジットカードスマホ決済請求書払いスマホ決済,東京都東京都東京都東京都,FREESHIP,2336.43,0.0,0.0,2336.43,2336.43
248,C00249,2022-07-09,鈴木 結菜,customer00249@example.jp,東京都,渋谷区,個人,広告検索,シルバー,有,"800～1,200万円",C00249,O000503O000594,2024-04-072024-07-21,配達完了配達完了,モバイルアプリ営業担当,クレジットカードクレジットカード,東京都東京都,SPRING15WELCOME10,2246.04,278.20000000000005,0.0,1967.84,1967.84
249,C00250,2023-02-07,鈴木 悠真,customer00250@example.jp,大阪府,吹田市,大企業,自然検索,シルバー,有,"1,200万円以上",C00250,O000292O000555O000713,2024-11-252024-04-212025-11-27,配達完了配達完了配達完了,モバイルアプリウェブウェブ,銀行振込コンビニ払い請求書払い,大阪府大阪府大阪府,WELCOME10,3213.6099999999997,63.3,0.0,3150.31,3150.31
250,C00251,2025-06-06,佐藤 蓮,customer00251@example.jp,福岡県,久留米市,中小企業,広告検索,ゴールド,有,300～500万円,C00251,O000005O000512,2024-07-202024-07-31,発送済み配達完了,モールモバイルアプリ,スマホ決済スマホ決済,福岡県福岡県,FREESHIP,826.54,0.0,0.0,826.54,826.54
251,C00252,2024-03-09,佐藤 葵,customer00252@example.jp,千葉県,柏市,中小企業,店頭,シルバー,有,300万円未満,C00252,O000028O000233O000573,2025-09-182025-02-012024-03-13,配達完了配達完了配達完了,ウェブウェブウェブ,クレジットカードクレジットカードスマホ決済,千葉県千葉県千葉県,WELCOME10WELCOME10,1809.63,123.27000000000001,0.0,1686.3600000000001,1686.3600000000001
252,C00253,2022-03-21,高橋 凛,customer00253@example.jp,大阪府,豊中市,個人,広告検索,シルバー,有,500～800万円,C00253,O000174O000279O000456,2024-01-312024-07-162024-11-25,配達完了配達完了配達完了,モバイルアプリモールウェブ,コンビニ払いクレジットカードスマホ決済,大阪府大阪府大阪府,FREESHIP,2449.7699999999995,0.0,5.9,2455.67,2443.87
253,C00254,2023-09-29,佐藤 さくら,customer00254@example.jp,東京都,世田谷区,個人,自然検索,ブロンズ,有,300万円未満,C00254,O000339,2025-08-10,配達完了,ウェブ,銀行振込,東京都,B2B5,1146.07,57.3,0.0,1088.77,1088.77
254,C00255,2022-02-28,田中 葵,customer00255@example.jp,福岡県,福岡市,中小企業,広告検索,ブロンズ,有,500～800万円,,,,,,,,,,,,,
255,C00256,2024-08-30,高橋 大和,customer00256@example.jp,北海道,函館市,大企業,SNS,ブロンズ,有,300～500万円,,,,,,,,,,,,,
256,C00257,2025-12-28,伊藤 葵,customer00257@example.jp,福岡県,北九州市,個人,紹介,ブロンズ,有,300～500万円,C00257,O000427,2025-01-02,配達完了,モール,クレジットカード,福岡県,FREESHIP,120.22,0.0,0.0,120.22,120.22
257,C00258,2024-04-21,伊藤 湊,customer00258@example.jp,大阪府,堺市,個人,自然検索,シルバー,有,300万円未満,C00258,O000196O000237O000542O000548,2025-06-202025-06-022025-07-222025-06-05,返品済み処理中配達完了配達完了,ウェブウェブモバイルアプリモール,スマホ決済スマホ決済クレジットカードスマホ決済,大阪府大阪府大阪府大阪府,WELCOME10FREESHIPFREESHIP,2408.39,46.57,5.9,2367.72,2355.9199999999996
258,C00259,2025-11-02,田中 さくら,customer00259@example.jp,北海道,旭川市,大企業,自然検索,ブロンズ,有,300万円未満,C00259,O000003O000041O000631,2024-09-092025-06-102025-08-31,配達完了配達完了配達完了,モバイルアプリウェブモバイルアプリ,コンビニ払い銀行振込クレジットカード,北海道北海道北海道,,1580.84,0.0,0.0,1580.84,1580.84
259,C00260,2023-10-11,伊藤 陽翔,customer00260@example.jp,福岡県,久留米市,個人,広告検索,ブロンズ,無,300万円未満,,,,,,,,,,,,,
260,C00261,2024-01-18,山本 蓮,customer00261@example.jp,福岡県,久留米市,個人,SNS,ブロンズ,有,500～800万円,C00261,O000006O000239O000534O000551O000553,2025-03-082025-01-072024-07-182025-02-222024-03-31,配達完了配達完了配達完了配達完了配達完了,ウェブウェブウェブウェブモール,クレジットカードクレジットカードコンビニ払いコンビニ払いスマホ決済,福岡県福岡県福岡県福岡県福岡県,SPRING15FREESHIP,2228.03,25.55,5.9,2208.3799999999997,2196.58
261,C00262,2023-06-03,中村 大和,customer00262@example.jp,千葉県,柏市,中小企業,自然検索,シルバー,無,500～800万円,,,,,,,,,,,,,
262,C00263,2022-11-29,田中 芽依,customer00263@example.jp,千葉県,船橋市,個人,紹介,プラチナ,有,300～500万円,C00263,O000584,2024-04-14,配達完了,モバイルアプリ,コンビニ払い,千葉県,,95.85,0.0,5.9,101.75,89.94999999999999
